object_key,image_key,source_split,annotation_id,image_id,file_name,image_width,image_height,category_id,category_name,bbox_x,bbox_y,bbox_width,bbox_height,bbox_area,altitude_m,gimbal_pitch_deg,drone,video,frame_no,image_path,split
train:23852,train:4863,train,23852,4863,4863.jpg,3840,2160,1,swimmer,1620.0,1469.0,132.0,90.0,11880.0,25.398761353245963,51.6,mavic,NorthSea_Fri_DJI_0112.MP4,5385,data/raw/seadronessee/odv2/images/train/4863.jpg,train
train:23853,train:4863,train,23853,4863,4863.jpg,3840,2160,5,buoy,1238.0,940.0,136.0,148.0,20128.0,25.398761353245963,51.6,mavic,NorthSea_Fri_DJI_0112.MP4,5385,data/raw/seadronessee/odv2/images/train/4863.jpg,train
train:23854,train:4863,train,23854,4863,4863.jpg,3840,2160,1,swimmer,1720.0,1891.0,60.0,118.0,7080.0,25.398761353245963,51.6,mavic,NorthSea_Fri_DJI_0112.MP4,5385,data/raw/seadronessee/odv2/images/train/4863.jpg,train
train:24813,train:5106,train,24813,5106,5106.jpg,3840,2160,1,swimmer,1638.0,787.0,73.0,84.0,6132.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3000,data/raw/seadronessee/odv2/images/train/5106.jpg,test
train:24814,train:5106,train,24814,5106,5106.jpg,3840,2160,1,swimmer,1897.0,896.0,62.0,98.0,6076.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3000,data/raw/seadronessee/odv2/images/train/5106.jpg,test
train:24815,train:5106,train,24815,5106,5106.jpg,3840,2160,2,boat,1156.0,250.0,228.0,138.0,31464.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3000,data/raw/seadronessee/odv2/images/train/5106.jpg,test
train:24816,train:5106,train,24816,5106,5106.jpg,3840,2160,2,boat,623.0,1527.0,424.0,286.0,121264.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3000,data/raw/seadronessee/odv2/images/train/5106.jpg,test
train:24817,train:5106,train,24817,5106,5106.jpg,3840,2160,1,swimmer,2107.0,750.0,93.0,95.0,8835.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3000,data/raw/seadronessee/odv2/images/train/5106.jpg,test
train:24818,train:5106,train,24818,5106,5106.jpg,3840,2160,1,swimmer,1747.0,264.0,56.0,52.0,2912.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3000,data/raw/seadronessee/odv2/images/train/5106.jpg,test
train:24825,train:5108,train,24825,5108,5108.jpg,3840,2160,1,swimmer,1761.0,909.0,80.0,86.0,6880.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3030,data/raw/seadronessee/odv2/images/train/5108.jpg,test
