object_key,image_key,source_split,annotation_id,image_id,file_name,image_width,image_height,category_id,category_name,bbox_x,bbox_y,bbox_width,bbox_height,bbox_area,altitude_m,gimbal_pitch_deg,drone,video,frame_no,image_path,split,source_side_px,crop_left_px,crop_top_px,crop_right_px,crop_bottom_px,exclusion_reason
train:23852,train:4863,train,23852,4863,4863.jpg,3840,2160,1,swimmer,1620.0,1469.0,132.0,90.0,11880.0,25.398761353245963,51.6,mavic,NorthSea_Fri_DJI_0112.MP4,5385,data/raw/seadronessee/odv2/images/train/4863.jpg,train,2016,678,506,2694,2522,required_80m_footprint_outside_source_frame
train:23854,train:4863,train,23854,4863,4863.jpg,3840,2160,1,swimmer,1720.0,1891.0,60.0,118.0,7080.0,25.398761353245963,51.6,mavic,NorthSea_Fri_DJI_0112.MP4,5385,data/raw/seadronessee/odv2/images/train/4863.jpg,train,2016,742,942,2758,2958,required_80m_footprint_outside_source_frame
train:24813,train:5106,train,24813,5106,5106.jpg,3840,2160,1,swimmer,1638.0,787.0,73.0,84.0,6132.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3000,data/raw/seadronessee/odv2/images/train/5106.jpg,test,1690,830,-16,2520,1674,required_80m_footprint_outside_source_frame
train:24815,train:5106,train,24815,5106,5106.jpg,3840,2160,2,boat,1156.0,250.0,228.0,138.0,31464.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3000,data/raw/seadronessee/odv2/images/train/5106.jpg,test,1690,425,-526,2115,1164,required_80m_footprint_outside_source_frame
train:24816,train:5106,train,24816,5106,5106.jpg,3840,2160,2,boat,623.0,1527.0,424.0,286.0,121264.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3000,data/raw/seadronessee/odv2/images/train/5106.jpg,test,1690,-10,825,1680,2515,required_80m_footprint_outside_source_frame
train:24817,train:5106,train,24817,5106,5106.jpg,3840,2160,1,swimmer,2107.0,750.0,93.0,95.0,8835.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3000,data/raw/seadronessee/odv2/images/train/5106.jpg,test,1690,1308,-48,2998,1642,required_80m_footprint_outside_source_frame
train:24818,train:5106,train,24818,5106,5106.jpg,3840,2160,1,swimmer,1747.0,264.0,56.0,52.0,2912.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3000,data/raw/seadronessee/odv2/images/train/5106.jpg,test,1690,930,-555,2620,1135,required_80m_footprint_outside_source_frame
train:24827,train:5108,train,24827,5108,5108.jpg,3840,2160,2,boat,1326.0,397.0,217.0,134.0,29078.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3030,data/raw/seadronessee/odv2/images/train/5108.jpg,test,1690,590,-381,2280,1309,required_80m_footprint_outside_source_frame
train:24828,train:5108,train,24828,5108,5108.jpg,3840,2160,2,boat,762.0,1571.0,408.0,279.0,113832.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3030,data/raw/seadronessee/odv2/images/train/5108.jpg,test,1690,121,866,1811,2556,required_80m_footprint_outside_source_frame
train:24829,train:5108,train,24829,5108,5108.jpg,3840,2160,2,boat,1637.0,123.0,206.0,81.0,16686.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3030,data/raw/seadronessee/odv2/images/train/5108.jpg,test,1690,895,-682,2585,1008,required_80m_footprint_outside_source_frame
train:24831,train:5108,train,24831,5108,5108.jpg,3840,2160,1,swimmer,1895.0,440.0,76.0,49.0,3724.0,30.298522401706794,45.2,mavic,DJI_0059.MP4,3030,data/raw/seadronessee/odv2/images/train/5108.jpg,test,1690,1088,-380,2778,1310,required_80m_footprint_outside_source_frame
train:24842,train:5110,train,24842,5110,5110.jpg,3840,2160,2,boat,1354.0,520.0,205.0,123.0,25215.0,30.298522401706794,44.7,mavic,DJI_0059.MP4,3060,data/raw/seadronessee/odv2/images/train/5110.jpg,test,1690,612,-264,2302,1426,required_80m_footprint_outside_source_frame
train:24843,train:5110,train,24843,5110,5110.jpg,3840,2160,2,boat,801.0,1606.0,394.0,261.0,102834.0,30.298522401706794,44.7,mavic,DJI_0059.MP4,3060,data/raw/seadronessee/odv2/images/train/5110.jpg,test,1690,153,892,1843,2582,required_80m_footprint_outside_source_frame
train:24844,train:5110,train,24844,5110,5110.jpg,3840,2160,2,boat,1652.0,271.0,196.0,74.0,14504.0,30.298522401706794,44.7,mavic,DJI_0059.MP4,3060,data/raw/seadronessee/odv2/images/train/5110.jpg,test,1690,905,-537,2595,1153,required_80m_footprint_outside_source_frame
train:24846,train:5110,train,24846,5110,5110.jpg,3840,2160,1,swimmer,1903.0,575.0,61.0,51.0,3111.0,30.298522401706794,44.7,mavic,DJI_0059.MP4,3060,data/raw/seadronessee/odv2/images/train/5110.jpg,test,1690,1088,-244,2778,1446,required_80m_footprint_outside_source_frame
