object_key,image_key,source_split,annotation_id,image_id,file_name,image_width,image_height,category_id,category_name,bbox_x,bbox_y,bbox_width,bbox_height,bbox_area,altitude_m,gimbal_pitch_deg,drone,video,frame_no,image_path,split,source_side_px,crop_left_px,crop_top_px,crop_right_px,crop_bottom_px,pair_id,target_altitude_m,output_side_px,actual_linear_scale,synthetic_bbox_x,synthetic_bbox_y,synthetic_bbox_width,synthetic_bbox_height,synthetic_bbox_area,calibrated_transmission,calibration_config_sha256,geometry_image_path,calibrated_image_path
train:23853,train:4863,train,23853,4863,4863.jpg,3840,2160,5,buoy,1238.0,940.0,136.0,148.0,20128.0,25.398761353245963,51.6,mavic,NorthSea_Fri_DJI_0112.MP4,5385,data/raw/seadronessee/odv2/images/train/4863.jpg,train,2016,298,6,2314,2022,train_00023853,80.0,640,0.31746031746031744,298.4126984126984,296.5079365079365,43.17460317460317,46.98412698412698,2028.5210380448473,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00023853.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00023853.png
train:36480,train:6551,train,36480,6551,6551.jpg,3840,2160,5,buoy,1492.0,904.0,50.0,72.0,3600.0,33.69835659859799,24.0,mavic,NorthSea_Fri_DJI_0114.MP4,4065,data/raw/seadronessee/odv2/images/train/6551.jpg,train,1519,758,180,2277,1699,train_00036480,80.0,640,0.42132982225148125,309.2560895325872,305.0427913100724,21.066491112574063,30.33574720210665,639.0677488264732,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00036480.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00036480.png
train:36483,train:6551,train,36483,6551,6551.jpg,3840,2160,1,swimmer,2533.0,807.0,18.0,13.0,234.0,33.69835659859799,24.0,mavic,NorthSea_Fri_DJI_0114.MP4,4065,data/raw/seadronessee/odv2/images/train/6551.jpg,train,1519,1782,54,3301,1573,train_00036483,80.0,640,0.42132982225148125,316.4186965108624,317.2613561553654,7.583936800526662,5.477287689269256,41.53940367372076,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00036483.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00036483.png
train:36484,train:6551,train,36484,6551,6551.jpg,3840,2160,1,swimmer,2601.0,830.0,41.0,22.0,902.0,33.69835659859799,24.0,mavic,NorthSea_Fri_DJI_0114.MP4,4065,data/raw/seadronessee/odv2/images/train/6551.jpg,train,1519,1862,82,3381,1601,train_00036484,80.0,640,0.42132982225148125,311.36273864384464,315.15470704410797,17.27452271231073,9.269256089532588,160.12197484485523,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00036484.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00036484.png
train:36485,train:6551,train,36485,6551,6551.jpg,3840,2160,1,swimmer,2404.0,814.0,34.0,21.0,714.0,33.69835659859799,24.0,mavic,NorthSea_Fri_DJI_0114.MP4,4065,data/raw/seadronessee/odv2/images/train/6551.jpg,train,1519,1662,65,3181,1584,train_00036485,80.0,640,0.42132982225148125,312.62672811059906,315.57603686635946,14.325213956550362,8.847926267281107,126.74843685058386,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00036485.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00036485.png
train:36486,train:6551,train,36486,6551,6551.jpg,3840,2160,1,swimmer,2429.0,897.0,25.0,20.0,500.0,33.69835659859799,24.0,mavic,NorthSea_Fri_DJI_0114.MP4,4065,data/raw/seadronessee/odv2/images/train/6551.jpg,train,1519,1682,148,3201,1667,train_00036486,80.0,640,0.42132982225148125,314.7333772218565,315.57603686635946,10.533245556287032,8.426596445029626,88.7594095592324,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00036486.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00036486.png
train:36487,train:6551,train,36487,6551,6551.jpg,3840,2160,1,swimmer,2313.0,877.0,31.0,19.0,589.0,33.69835659859799,24.0,mavic,NorthSea_Fri_DJI_0114.MP4,4065,data/raw/seadronessee/odv2/images/train/6551.jpg,train,1519,1569,127,3088,1646,train_00036487,80.0,640,0.42132982225148125,313.46938775510205,315.99736668861095,13.061224489795919,8.005266622778144,104.55858446077576,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00036487.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00036487.png
train:36488,train:6551,train,36488,6551,6551.jpg,3840,2160,1,swimmer,2339.0,890.0,45.0,22.0,990.0,33.69835659859799,24.0,mavic,NorthSea_Fri_DJI_0114.MP4,4065,data/raw/seadronessee/odv2/images/train/6551.jpg,train,1519,1602,142,3121,1661,train_00036488,80.0,640,0.42132982225148125,310.5200789993417,315.15470704410797,18.959842001316655,9.269256089532588,175.74363092728012,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00036488.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00036488.png
train:36492,train:6551,train,36492,6551,6551.jpg,3840,2160,1,swimmer,2658.0,960.0,29.0,24.0,696.0,33.69835659859799,24.0,mavic,NorthSea_Fri_DJI_0114.MP4,4065,data/raw/seadronessee/odv2/images/train/6551.jpg,train,1519,1913,212,3432,1731,train_00036492,80.0,640,0.42132982225148125,313.89071757735354,315.15470704410797,12.218564845292956,10.11191573403555,123.5530981064515,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00036492.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00036492.png
train:36493,train:6551,train,36493,6551,6551.jpg,3840,2160,1,swimmer,2550.0,956.0,34.0,22.0,748.0,33.69835659859799,24.0,mavic,NorthSea_Fri_DJI_0114.MP4,4065,data/raw/seadronessee/odv2/images/train/6551.jpg,train,1519,1808,208,3327,1727,train_00036493,80.0,640,0.42132982225148125,312.62672811059906,315.15470704410797,14.325213956550362,9.269256089532588,132.78407670061165,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00036493.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00036493.png
