blur_sigma_output_px,visibility_m,peak_electrons,jpeg_quality,calibration_score,luminance_mean_score,contrast_score,saturation_score,gradient_ratio_score,blockiness_score
0.0,,,95.0,11.318515465609597,0.04910584468690661,4.860750465874365,0.6941445854562112,5.233841203005599,0.4806733665865152
0.0,,8000.0,95.0,11.337642276872147,0.048851941875496616,4.885019637326028,0.6999697895477507,5.084241208265587,0.6195596998572849
0.0,15000.0,8000.0,95.0,11.370117050768416,0.07284375088345135,4.92783114958458,0.7357617604736518,5.080479578111396,0.5532008117153371
0.0,15000.0,,95.0,11.400189287225267,0.07242826316017165,4.9665475703916355,0.7137589926557406,5.21117755739249,0.4362769036252315
0.0,8000.0,8000.0,95.0,11.479120216312346,0.09330062205008402,5.007685379952646,0.8285775447760273,5.042243961865588,0.5073127076680013
0.0,8000.0,,95.0,11.487279288728804,0.09303842696879883,5.04212803723962,0.8159211168558976,5.175454352783893,0.3607373548805949
0.0,,8000.0,,12.466565279516871,0.049259745969706004,4.848025868275345,0.23158061553254305,5.141229416271076,2.196469633468201
0.35,,8000.0,95.0,13.065260158228142,0.048051619793111115,5.216402699837601,0.7031957520534267,6.737967582719362,0.35964250382464197
0.0,15000.0,8000.0,,13.075454261076239,0.07310430816766156,4.942746942408417,0.7251233106918978,5.114701602934838,2.2197780968734238
0.35,,,95.0,13.106983313963903,0.04830691325654199,5.237864378876932,0.6950868062564162,6.911982640268958,0.21374257530505616
0.0,,,,13.155909204843814,0.04920268866079606,4.855187636566037,0.6885514146532203,5.3407098144186484,2.222257650545112
0.35,15000.0,8000.0,95.0,13.157190135387342,0.07211332658659304,5.327270375842053,0.7370244272608711,6.729421544301195,0.291360461396631
0.35,15000.0,,95.0,13.198079250968714,0.07165934694331882,5.368927982390016,0.715848251447049,6.880363317691321,0.16128035249700906
0.0,8000.0,8000.0,,13.24256637949108,0.0937778960368911,5.01502351673063,0.8271432656047578,5.094395489473394,2.2122262116454086
0.35,8000.0,8000.0,95.0,13.285946646204668,0.09250767743200028,5.399906013871018,0.8304150192155826,6.699870468318894,0.26324746736717297
0.35,8000.0,,95.0,13.325519375333315,0.09227896128371657,5.432679690755377,0.8174313642212826,6.868564120324344,0.11456523874859342
0.0,15000.0,,,13.334887870097315,0.07308784535607213,4.9777823071740475,0.7471243853232252,5.312996093229946,2.2238972390140255
0.0,8000.0,,,13.51415848596747,0.09378428860970858,5.052594980180015,0.8388099133655644,5.307790719226572,2.22117858458561
0.0,,8000.0,85.0,14.078686798213093,0.048962976401970525,4.858727628529223,0.6981715753508065,5.353213702408759,3.1196109155223355
0.0,,,85.0,14.370853500964783,0.0491066266981226,4.859044342903689,0.6915428416241647,5.422416760653561,3.3487429290852457
0.35,,8000.0,,14.457067980588546,0.0484782917522723,5.230442617687449,0.2325537891180316,6.750252697292289,2.1953405847385046
0.0,15000.0,8000.0,85.0,14.466329254707595,0.0728236251608361,4.968851369646785,0.7401978926416279,5.367624193013258,3.3168321742450866
0.0,8000.0,8000.0,85.0,14.696988070593008,0.09319823022303964,5.042704280017528,0.8214807408783952,5.336135183321771,3.4034696361522734
0.0,15000.0,,85.0,14.768348941484694,0.07251859283308262,4.996198042059219,0.7145040197750848,5.414880718942929,3.570247567874379
0.35,15000.0,8000.0,,15.04909900704876,0.07234055248708782,5.341363935379635,0.726584046946142,6.701716619978383,2.207093852257512
0.0,8000.0,,85.0,15.069050206296446,0.09295943276978752,5.072255296581374,0.8187177356206755,5.426707479124982,3.658410262199628
0.35,8000.0,8000.0,,15.22921828130669,0.09301467522247923,5.408097170275576,0.8284827179865126,6.6899138445802055,2.209709873241916
0.35,,,,15.244755507155768,0.04840942312301521,5.269371708137341,0.6879012727091353,7.01507327115102,2.2239998320352554
0.35,15000.0,,,15.40624210349384,0.0723172544548228,5.381051928667642,0.7486808575164305,6.979280454544332,2.224911608310613
0.35,8000.0,,,15.578382679812542,0.09301603636464292,5.444300060111914,0.8400007990506144,6.976909879888032,2.224155904397339
0.35,,8000.0,85.0,16.46901593547078,0.048091354815840495,5.245794573183015,0.6975789183423653,7.083975211880809,3.393575877248751
0.35,,,85.0,16.71389541712093,0.048275983237456785,5.266007478780732,0.6918457552062568,7.140204362094419,3.5675618378020664
0.7,,8000.0,95.0,16.756603830896026,0.04673652776160474,5.894837972002484,0.7083536321104245,9.939192147213282,0.16748355180823069
0.35,15000.0,8000.0,85.0,16.887634273530132,0.07207301981038028,5.359675595924276,0.742970022757095,7.094778712015387,3.618136923022992
0.7,15000.0,8000.0,95.0,16.974877742585704,0.07085150722480982,6.0136694933797745,0.7395512204789165,9.902037615988291,0.24876790551391323
