evaluation,class,precision,recall,f1,support
real30 reference,boat,1.0,1.0,1.0,37
real30 reference,buoy,1.0,1.0,1.0,2
real30 reference,jetski,0.9,1.0,0.9473684210526315,9
real30 reference,swimmer,1.0,0.9955947136563876,0.9977924944812362,227
geometry zero-shot,boat,1.0,1.0,1.0,37
geometry zero-shot,buoy,0.0,0.0,0.0,2
geometry zero-shot,jetski,0.875,0.7777777777777778,0.8235294117647058,9
geometry zero-shot,swimmer,0.9826086956521739,0.9955947136563876,0.9890590809628009,227
geometry selected R,boat,1.0,1.0,1.0,37
geometry selected R,buoy,0.3333333333333333,0.5,0.4,2
geometry selected R,jetski,0.6666666666666666,0.8888888888888888,0.7619047619047619,9
geometry selected R,swimmer,0.9910313901345291,0.973568281938326,0.9822222222222222,227
calibrated zero-shot,boat,1.0,1.0,1.0,37
calibrated zero-shot,buoy,0.0,0.0,0.0,2
calibrated zero-shot,jetski,0.875,0.7777777777777778,0.8235294117647058,9
calibrated zero-shot,swimmer,0.9826086956521739,0.9955947136563876,0.9890590809628009,227
calibrated selected R,boat,1.0,1.0,1.0,37
calibrated selected R,buoy,0.25,0.5,0.3333333333333333,2
calibrated selected R,jetski,0.6666666666666666,0.8888888888888888,0.7619047619047619,9
calibrated selected R,swimmer,0.9954954954954955,0.973568281938326,0.9844097995545658,227
