evaluation,class,precision,recall,f1,support
real30 reference,boat,1.0,1.0,1.0,37
real30 reference,buoy,0.6666666666666666,1.0,0.8,2
real30 reference,jetski,0.6153846153846154,0.8888888888888888,0.7272727272727273,9
real30 reference,swimmer,0.9954954954954955,0.973568281938326,0.9844097995545658,227
geometry zero-shot,boat,1.0,0.7027027027027027,0.8253968253968254,37
geometry zero-shot,buoy,0.0,0.0,0.0,2
geometry zero-shot,jetski,0.2,0.4444444444444444,0.27586206896551724,9
geometry zero-shot,swimmer,0.9237668161434978,0.9074889867841409,0.9155555555555556,227
geometry selected R,boat,0.925,1.0,0.961038961038961,37
geometry selected R,buoy,0.0,0.0,0.0,2
geometry selected R,jetski,0.8,0.4444444444444444,0.5714285714285714,9
geometry selected R,swimmer,0.9911894273127754,0.9911894273127754,0.9911894273127754,227
calibrated zero-shot,boat,1.0,0.7027027027027027,0.8253968253968254,37
calibrated zero-shot,buoy,0.0,0.0,0.0,2
calibrated zero-shot,jetski,0.21052631578947367,0.4444444444444444,0.2857142857142857,9
calibrated zero-shot,swimmer,0.9237668161434978,0.9074889867841409,0.9155555555555556,227
calibrated selected R,boat,0.9714285714285714,0.918918918918919,0.9444444444444444,37
calibrated selected R,buoy,0.0,0.0,0.0,2
calibrated selected R,jetski,0.875,0.7777777777777778,0.8235294117647058,9
calibrated selected R,swimmer,0.9779735682819384,0.9779735682819384,0.9779735682819384,227
