object_key,image_key,source_split,annotation_id,image_id,file_name,image_width,image_height,category_id,category_name,bbox_x,bbox_y,bbox_width,bbox_height,bbox_area,altitude_m,gimbal_pitch_deg,drone,video,frame_no,image_path,split,source_side_px,crop_left_px,crop_top_px,crop_right_px,crop_bottom_px,pair_id,target_altitude_m,output_side_px,actual_linear_scale,synthetic_bbox_x,synthetic_bbox_y,synthetic_bbox_width,synthetic_bbox_height,synthetic_bbox_area,calibrated_transmission,calibration_config_sha256,geometry_image_path,calibrated_image_path
train:110356,train:16344,train,110356,16344,16344.jpg,3840,2160,2,boat,1045.0,1216.0,193.0,110.0,21230.0,29.998537031392868,23.7,m210,DJI_0010_d3.mov,1455,data/raw/seadronessee/odv2/images/train/16344.jpg,train,1707,288,418,1995,2125,train_00110356,80.0,640,0.3749267721148213,283.8195664909197,299.19156414762745,72.36086701816052,41.241944932630346,2984.302892840364,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00110356.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00110356.png
val:23877,val:4871,val,23877,4871,4871.jpg,3840,2160,5,buoy,1337.0,870.0,117.0,133.0,15561.0,28.79859555013715,51.6,mavic,NorthSea_Fri_DJI_0112.MP4,5505,data/raw/seadronessee/odv2/images/val/4871.jpg,train,1778,506,48,2284,1826,val_00023877,80.0,640,0.3599550056242969,299.12260967379075,295.8830146231721,42.11473565804274,47.874015748031496,2016.2015181173217,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/val_00023877.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/val_00023877.png
val:72476,val:10422,val,72476,10422,10422.jpg,3840,2160,3,jetski,2903.0,727.0,251.0,173.0,43423.0,31.89844437671441,54.6,mavic,NorthSea_Sat_DJI_0126.MP4,6105,data/raw/seadronessee/odv2/images/val/10422.jpg,train,1605,2226,11,3831,1616,val_00072476,80.0,640,0.3987538940809969,269.9563862928349,285.50778816199374,100.0872274143302,68.98442367601245,6904.459700507564,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/val_00072476.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/val_00072476.png
train:36664,train:6565,train,36664,6565,6565.jpg,3840,2160,1,swimmer,2269.0,962.0,19.0,14.0,266.0,31.59845900640049,22.0,mavic,NorthSea_Fri_DJI_0114.MP4,4275,data/raw/seadronessee/odv2/images/train/6565.jpg,train,1620,1468,159,3088,1779,train_00036664,80.0,640,0.3950617283950617,316.4444444444444,317.2345679012345,7.506172839506172,5.530864197530864,41.51562261850327,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00036664.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00036664.png
val:37810,val:6669,val,37810,6669,6669.jpg,3840,2160,2,boat,1479.0,759.0,203.0,91.0,18473.0,31.79844925327644,26.7,mavic,NorthSea_Fri_DJI_0114.MP4,5835,data/raw/seadronessee/odv2/images/val/6669.jpg,train,1610,776,0,2386,1610,val_00037810,80.0,640,0.3975155279503105,279.4534161490683,301.71428571428567,80.69565217391303,36.17391304347826,2919.077504725897,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/val_00037810.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/val_00037810.png
val:23859,val:4865,val,23859,4865,4865.jpg,3840,2160,5,buoy,1282.0,1002.0,127.0,136.0,17272.0,26.69869795793965,51.6,mavic,NorthSea_Fri_DJI_0112.MP4,5415,data/raw/seadronessee/odv2/images/val/4865.jpg,train,1918,386,111,2304,2029,val_00023859,80.0,640,0.3336809176225234,298.978102189781,297.3096976016684,42.37747653806048,45.38060479666319,1923.115515053589,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/val_00023859.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/val_00023859.png
train:51977,train:8036,train,51977,8036,8036.jpg,3840,2160,3,jetski,689.0,1280.0,111.0,195.0,21645.0,34.4983175861018,42.2,mavic,NorthSea_Fri_DJI_0117.MP4,810,data/raw/seadronessee/odv2/images/train/8036.jpg,train,1484,2,636,1486,2120,train_00051977,80.0,640,0.431266846361186,296.2803234501348,277.7358490566038,47.87061994609165,84.09703504043127,4025.7772030136366,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00051977.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00051977.png
val:38009,val:6683,val,38009,6683,6683.jpg,3840,2160,1,swimmer,1242.0,973.0,23.0,26.0,598.0,31.59845900640049,26.7,mavic,NorthSea_Fri_DJI_0114.MP4,6045,data/raw/seadronessee/odv2/images/val/6683.jpg,train,1620,444,176,2064,1796,val_00038009,80.0,640,0.3950617283950617,315.25925925925924,314.8641975308642,9.08641975308642,10.271604938271604,93.33211400701111,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/val_00038009.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/val_00038009.png
train:110442,train:16356,train,110442,16356,16356.jpg,3840,2160,2,boat,791.0,1146.0,255.0,204.0,52020.0,29.89854190795489,29.9,m210,DJI_0010_d3.mov,1635,data/raw/seadronessee/odv2/images/train/16356.jpg,train,1712,62,392,1774,2104,train_00110442,80.0,640,0.3738317757009345,272.5233644859813,281.86915887850466,95.32710280373831,76.26168224299064,7269.805223163594,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00110442.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00110442.png
train:23853,train:4863,train,23853,4863,4863.jpg,3840,2160,5,buoy,1238.0,940.0,136.0,148.0,20128.0,25.398761353245963,51.6,mavic,NorthSea_Fri_DJI_0112.MP4,5385,data/raw/seadronessee/odv2/images/train/4863.jpg,train,2016,298,6,2314,2022,train_00023853,80.0,640,0.3174603174603174,298.4126984126984,296.5079365079365,43.17460317460317,46.98412698412698,2028.5210380448475,1.0,8fe6c319c145bfe6c41b4bd884be5417741d8218678ea8dfc0735cca6b82988f,data/synthetic/seadronessee_30m_to_80m/geometry_only/train/train_00023853.png,data/synthetic/seadronessee_30m_to_80m/calibrated/train/train_00023853.png
