variant,calibration_pairs,weighting,constrained_rank,calibration_images,calibration_videos,minimum_class_pairs,accuracy,balanced_accuracy,macro_f1,heldout_rmse,heldout_paired_cosine,macro_f1_change_vs_zero_shot,passes_transfer_gate
geometry,40,unweighted,40,39,6,9,0.7818181818181819,0.3555482795570901,0.33729570990806945,0.03843697948059059,0.7163389318162156,0.018183697286929035,False
calibrated,40,unweighted,40,39,6,9,0.7563636363636363,0.40952791999047505,0.4179058037468885,0.038704160206377854,0.7123816916515762,0.10813722546918247,False
geometry,80,unweighted,80,73,6,9,0.8,0.42839921419216576,0.4705046197583511,0.03790643686438102,0.7241155915723793,0.1513926071372107,False
calibrated,80,unweighted,80,73,6,9,0.7563636363636363,0.2799738064055245,0.27781993686255463,0.03795495985845185,0.723408835396379,-0.03194864141515141,False
geometry,160,unweighted,160,143,7,9,0.7527272727272727,0.38580485772115725,0.42365657183644334,0.03769832883391698,0.7271365115253061,0.10454455921530292,False
calibrated,160,unweighted,160,143,7,9,0.7781818181818182,0.42179128467674726,0.4622740039951733,0.03765919425799307,0.7277027358118213,0.15250542571746728,False
geometry,320,unweighted,320,210,7,9,0.7781818181818182,0.269615430408382,0.26641644687901533,0.03731963957394407,0.7325909433595191,-0.05269556574212508,False
calibrated,320,unweighted,320,210,7,9,0.7745454545454545,0.2628586736516252,0.25901295666219887,0.03724077588118038,0.7337199245205017,-0.050755621615507174,False
geometry,640,unweighted,383,251,7,9,0.8181818181818182,0.2534527919990475,0.23817262549656917,0.0366054142931575,0.7427283786541798,-0.08093938712457124,False
calibrated,640,unweighted,384,251,7,9,0.8181818181818182,0.2534527919990475,0.23817262549656917,0.03657101765841285,0.7432116471716491,-0.07159595278113687,False
geometry,1010,unweighted,384,251,7,9,0.8218181818181818,0.2488986784140969,0.22554890219560877,0.03650586914498691,0.7441257303971763,-0.09356311042553164,False
calibrated,1010,unweighted,384,251,7,9,0.8181818181818182,0.24779735682819384,0.225,0.036495254062363716,0.7442745138151065,-0.08476857827770604,False
geometry,1010,class_balanced,384,251,7,9,0.7818181818181819,0.41158173592094294,0.4539825422804146,0.03690412153228525,0.7385124752564659,0.1348705296592742,False
calibrated,1010,class_balanced,384,251,7,9,0.7890909090909091,0.4137843790927491,0.4573748991121872,0.03687972681744686,0.7388580630662924,0.14760632083448116,False
